input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l,output_titre_µgl
0,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.3779999999999999,,1194.886962890625,100.0,97.62458801269533,5.000000953674316,0.0,6.730216979980469,0.0,0.0,30.0,7.04,0.0,12.62,30.44,
2,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.7556666666666666,,1194.7779541015625,100.0,87.87454986572266,5.013497829437256,0.0,6.762695789337158,0.0,0.0,29.96,6.17,0.0,30.77,27.83,
4,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,5.23,,1195.2459716796875,78.71221923828125,32.394039154052734,4.641557216644287,21.274770736694336,6.759990215301514,0.0,0.0,30.08,6.98,0.0,9.6,32.27,
6,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,26.23333333333333,68.49999999999994,1194.946044921875,100.0,78.66014862060547,5.000000953674316,0.0,6.814123153686523,8.55,0.2907,30.01,0.0,-0.02557,0.88,21.42,
8,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,33.56666666666667,,1194.9560546875,100.0,58.36050033569336,4.999999046325684,0.0,6.70111894607544,12.71,0.4321399999999999,30.02,0.0,-0.03772,0.67,39.87,
10,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,45.53333333333333,,1194.781005859375,99.85890197753906,38.53438949584961,4.999999046325684,0.1592254936695099,6.698074817657471,19.07,0.64838,30.04,0.0,-0.03964,0.44,22.13,
12,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,55.23333333333333,,1197.8299560546875,93.83792877197266,41.9034309387207,4.898855209350586,6.155033111572266,6.724125862121582,17.9,0.6085999999999999,30.01,0.0,-0.03772,1.44,21.61,
14,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,56.06666666666666,,1195.43994140625,99.30622863769533,40.29653930664063,4.952495098114014,0.6928368210792542,6.73360013961792,17.9,0.6085999999999999,29.99,0.0,-0.039,0.44,19.39,
16,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,66.73333333333333,,1194.8389892578125,99.3949966430664,37.50970077514648,4.940049171447754,0.6081733703613281,6.707548141479492,17.9,0.6085999999999999,30.02,0.0,-0.039,0.59,18.21,
18,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,67.56666666666666,170.49999999999997,1194.9749755859375,99.45748901367188,41.197021484375,4.964770793914795,0.5503311157226562,6.721757888793945,17.9,0.6085999999999999,30.01,0.0,-0.04156,0.47,16.37,
