input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.378,,1194.886963,100,97.62458801,5.000000954,0,6.73021698,0,0,30,0,12.62,30.44
2,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.755666667,,1194.777954,100,87.87454987,5.013497829,0,6.762695789,0,0,29.96,0,30.77,27.83
4,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,5.23,,1195.245972,78.71221924,32.39403915,4.641557217,21.27477074,6.759990215,0,0,30.08,0,9.6,32.27
6,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,26.23333333,68.5,1194.946045,100,78.66014862,5.000000954,0,6.814123154,8.55,0.2907,30.01,-0.02557,0.88,21.42
8,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,33.56666667,,1194.956055,100,58.36050034,4.999999046,0,6.701118946,12.71,0.43214,30.02,-0.03772,0.67,39.87
10,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,45.53333333,,1194.781006,99.85890198,38.5343895,4.999999046,0.159225494,6.698074818,19.07,0.64838,30.04,-0.03964,0.44,22.13
12,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,55.23333333,,1197.829956,93.83792877,41.90343094,4.898855209,6.155033112,6.724125862,17.9,0.6086,30.01,-0.03772,1.44,21.61
14,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,56.06666667,,1195.439941,99.30622864,40.29653931,4.952495098,0.692836821,6.73360014,17.9,0.6086,29.99,-0.039,0.44,19.39
16,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,66.73333333,,1194.838989,99.39499664,37.50970078,4.940049171,0.60817337,6.707548141,17.9,0.6086,30.02,-0.039,0.59,18.21
18,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,67.56666667,170.5,1194.974976,99.45748901,41.19702148,4.964770794,0.550331116,6.721757889,17.9,0.6086,30.01,-0.04156,0.47,16.37
20,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,71.4,175,1195.421021,99.24033356,36.3996315,4.959589005,0.764011383,6.749839783,17.9,0.6086,30.01,-0.0422,0.75,14.46
22,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,74.6,187.5,1194.900024,99.5307312,37.92889023,4.960416794,0.471736908,6.722434998,17.9,0.6086,30.13,-0.04667,0.66,11.71
24,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,95.5,191.5,1194.821045,99.4091568,39.30289841,4.973188877,0.592044771,6.717698097,17.9,0.6086,30.01,-0.04667,1.9,7.21
26,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,101.3333333,,1195.061035,99.55190277,40.6536293,4.996593952,0.446899414,6.744088173,17.9,0.6086,29.97,-0.06184,0.76,5.37
28,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,96.5,218,1195.041016,97.24520874,37.71929932,4.919343948,2.757644892,6.775890827,14.5,0.493,30,-0.05115,1.25,1.68
30,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1195.194946,99.68010712,38.36360931,4.960258007,0.303695709,6.728525162,14.5,0.493,29.97,-0.05307,,0.865
32,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,108.1666667,229,1195.478027,99.74848938,39.03897095,4.999999046,0.294246703,6.743411064,14.5,0.493,30.05,-0.05179,1.81,0.05
34,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1194.698975,99.94110107,39.8152504,5.000000954,0.060043331,6.700780869,14.5,0.493,30,-0.05498,,0.04
36,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,113.3333333,219,1194.77002,99.86276245,39.15541077,5.000000954,0.137950897,6.722773075,14.5,0.493,30.03,-0.05307,2.11,0.03
38,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1195.16394,99.73497009,37.3311615,4.999999046,0.267818511,6.711607933,14.5,0.493,29.99,-0.05498,,0
40,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,118.6666667,216,1195.233032,100,43.77426147,4.999999046,0,6.732584,14.5,0.493,29.95,0.05,2.52,-0.12
44,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,118,217.5,1194.859985,99.55622864,40.37416077,4.980105877,0.446411103,6.716005802,10,0.34,30.01,-0.05562,3.59,0
48,5L Fermenter,5000ml,Ferm1,1195,100,6.8,5,100,0,30,Media A,Glucose,0,123.3333333,215.5,1195.296021,99.53603363,40.22666931,4.960001945,0.463295013,6.771153927,13.2,0.4488,30,0.82,2.65,0
