input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,0.233,,1185.156006,100,97.13482666,5.000000954,0,6.398406029,0,0,30.08,,,
2,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,0.412,,1184.754028,100,84.00908661,5.000000954,0,6.387071133,0,0,30.01,,,
4,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,1.35,,1185.182007,100,78.11654663,5.000000954,0,6.394283772,0,0,30.01,,,
6,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,3.59,,1185.130005,100,70.33193207,5.000000954,0,6.253798962,0,0,30.01,,,
8,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,7.82,,1185.125,100,58.15763855,5.000000954,0,6.214984894,0,0,30.01,,,
9.75,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,15.2,48,1185.083984,100,48.98907852,5.000000954,0,6.399435997,0,0,30,0,10.57,27.43
12,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,26.9,75,1184.819946,100,47.32403946,5.000000954,0,6.269256115,10.9,0.3706,30,0,0.5,23.86
14,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,38.1,105.5,1184.848022,98.03025818,39.3772316,4.999949932,1.97052002,6.223571777,16.39,0.55726,30.01,0,0.52,17.69
16,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,43.5,135.5,1184.926025,87.70600891,31.7656002,5.059998989,12.30644989,6.300857067,24.37,0.82858,30.06,4.83577,2.51,14
18,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,51.6,175.5,1184.878052,90.75977325,42.02616882,5.039999962,9.237857819,6.229754925,17.9,0.6086,29.98,0,3.77,5.83
20,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,60.3,189.5,1184.984009,93.9065094,37.56082153,5.025577068,6.11059618,6.343791962,17.9,0.6086,30.02,0,0.82,0.01
22,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,30,Media A,Glucose,0,69,203.5,1185.156982,88.34268188,39.47454071,5.040875912,11.65365028,6.278530121,17.9,0.6086,30,0,1.09,0.08
24,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,26,Media A,Glucose,0,80.2,206.5,1184.985962,89.21318817,39.57184982,5.039999962,10.78740978,6.253111839,17.9,0.6086,30,2.07337,1.74,0
28,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,26,Media A,Glucose,0,86.4,198,1185.910034,93.97225189,39.72320938,5.000172138,6.029179096,6.196780205,17.9,0.6086,26,14.51172,1.25,0.01
32,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,26,Media A,Glucose,0,90.8,193.5,1186.307983,92.94056702,40.14487839,5.083786964,7.059788227,6.223228931,12.5,0.425,25.99,16.29574,1.62,0
36,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,26,Media A,Glucose,0,88.8,190,1184.81897,93.405159,40.05838013,4.984220982,6.594752789,6.255859852,12.5,0.425,26.01,18.36344,2.61,0.04
40,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,26,Media A,Glucose,0,92.8,179,1185.167969,94.73732758,40.3935585,4.946877956,5.262179852,6.242119789,8.75,0.2975,25.99,17.85282,2.24,0.02
44,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,26,Media A,Glucose,0,93.6,184,1184.979004,98.04898834,40.6097908,4.980278015,1.947540045,6.231129169,6.12,0.20808,26,11.57407,3.69,0.01
48,5L Fermenter,5000ml,Ferm1,1185,100,6.3,5,100,0,26,Media A,Glucose,0,97,186,1184.607056,99.70674133,39.85295868,4.999999046,0.293384612,6.233532906,4.27,0.14518,26,4.37495,5.26,0
