input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,0.255,,1186.045044,100,100.4358978,5.000000954,0,6.332038879,0,0,30.08,,,
2,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,0.433666667,,1184.784058,100,99.06482697,5.000000954,0,6.383738041,0,0,29.99,,,
4,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,0.684333333,,1184.616943,100,97.18744659,5.000000954,0,6.393568039,0,0,30,,,
6,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,2.836666667,,1184.863037,100,87.09745026,5.000000954,0,6.383009911,0,0,30,,,
8,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,6.02,,1184.973999,100,71.40345764,5.000000954,0,6.399394035,0,0,29.99,,,
10,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,14.16666667,,1184.31604,98.24754333,55.33679962,4.973259926,1.696007013,6.248301029,0,0,29.95,,12.99,35.75
10.5,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,17.26666667,54.5,1185.98999,100,42.35691071,4.999999046,0,6.355340004,7.7,0.2618,30.03,,8.89,32.79
12.5,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,28.8,100.5,1184.484009,99.40926361,40.56391907,4.999999046,0.590736389,6.232645988,11.4,0.3876,30.02,,0.53,29.11
14.5,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,45.76666667,122,1184.936035,95.67877197,35.00914001,4.898828983,4.32745409,6.218447208,17.18,0.58412,29.99,-0.03304,0.48,20.86
16.5,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,53.46666667,161,1184.989014,86.7359314,39.25608063,5.118924141,13.26465034,6.250484943,25.6,0.8704,30.01,4.52468,0.83,16.74
18.5,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,53.46666667,161,1185.098999,89.33730316,39.06623077,5.034208775,10.66563034,6.201334953,17.9,0.6086,30,12.94958,1.25,14.64
20.5,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,64.76666667,202.5,1184.85498,75.24595642,46.18196869,3.680083036,24.74663925,6.342233181,17.9,0.6086,29.97,4.91726,11.91,4.64
22.5,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,71.8,214,1184.744995,76.07119751,25.91758919,3.617880106,23.94659996,6.297088146,17.9,0.6086,30.04,1.9287,23.26,0.23
24,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,26,Media A,Glucose,0,76.86666667,220,1184.984009,81.58223724,44.03741074,3.676723957,18.41377068,6.267232895,17.9,0.6086,28.21,3.46816,5.41,0.05
28,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,26,Media A,Glucose,0,75.4,203.5,1184.649048,91.5475769,40.22640991,3.86066103,8.452136993,6.24393177,12.5,0.425,26.01,22.45501,2.82,0.01
32,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,26,Media A,Glucose,0,86.66666667,221,1184.980957,97.58838654,39.34046173,5.009015083,2.412430048,6.269417763,10.6,0.3604,25.99,26.79141,11.24,0
36,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,26,Media A,Glucose,0,94.66666667,217.5,1184.920044,100,44.57178879,4.999999046,0,6.25631094,9.01,0.30634,25.98,29.35913,21.21,0
40,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,89.2,208,1185.131958,100,43.58739853,4.999999046,0,6.210072994,7.66,0.26044,25.99,29.78772,26.64,-0.06
44,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,89.33333333,218.5,1185.588989,100,47.24370956,4.999999046,0,6.266140938,6.51,0.22134,26.01,28.174,34.22,-0.11
48,5L Fermenter,5000ml,Ferm3,1185,100,6.3,5,100,0,30,Media A,Glucose,0,87.3,231,1184.464966,100,54.88679886,5.000000954,0,6.281432152,0,0,26,23.74438,65.84,-0.09
