input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.363,,1184.84,100.0,98.53,5.0,0.0,6.71,0.0,0.0,30.09,1.08,0.24,1.32,16.72
2.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.582,,1184.79,100.0,96.29,5.0,0.0,6.82,0.0,0.0,29.98,,,,
4.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.79,,1184.84,100.0,90.76,5.0,0.0,6.85,0.0,0.0,30.0,,,,
6.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,4.64,,1184.68,100.0,77.19,5.0,0.0,6.76,0.0,0.0,30.0,,,,
8.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,11.18,,1184.96,100.0,58.08,5.0,0.0,6.71,0.0,0.0,30.0,0.0,0.0,13.02,11.01
8.5,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1184.77,100.0,50.48,5.0,0.0,6.7,0.0,0.0,30.0,,,,
8.6,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,16.5,48.9999999999999,1184.61,100.0,49.44,5.0,0.0,6.7,0.0,0.0,30.04,,,,
8.75,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,49.0,1185.14,100.0,56.85,5.0,0.0,6.84,7.06,0.24004,29.94,,,,
10.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,23.7,65.5,1184.58,100.0,63.91,5.0,0.0,6.75,9.06,0.30804,30.0,0.0,0.0,0.3,9.95
12.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,36.0,95.0,1185.07,100.0,46.09,5.0,0.0,6.71,13.47,0.45798,30.01,0.0,0.0,0.33,8.76
