input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Feed %,output_Feed,output_Temp.1,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm2,0.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.401666666666667,,1185.21899414062,100.0,99.337516784668,4.99999904632568,0.0,6.34506607055664,0.0,0.0,30.09,,,,,
5L Fermenter,5000ml,Ferm2,2.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.475333333333333,,1185.05700683594,100.0,97.9916305541992,4.99999904632568,0.0,6.38378477096558,0.0,0.0,30.03,,,,,
5L Fermenter,5000ml,Ferm2,4.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.775,,1185.4990234375,100.0,96.1297073364258,4.99999904632568,0.0,6.39035987854004,0.0,0.0,30.01,,,,,
5L Fermenter,5000ml,Ferm2,6.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,2.62,,1185.38195800781,100.0,88.1659698486328,4.99999904632568,0.0,6.39547395706177,0.0,0.0,29.9,,,,,
5L Fermenter,5000ml,Ferm2,8.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,5.8,,1184.72705078125,100.0,77.0292892456055,5.00000095367432,0.0,6.38415098190308,0.0,0.0,30.0,,,,,
5L Fermenter,5000ml,Ferm2,10.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,13.2666666666667,,1185.51696777344,100.0,53.0962409973145,5.00000095367432,0.0,6.19822597503662,0.0,0.0,30.13,,1.9,,14.28,33.03
5L Fermenter,5000ml,Ferm2,10.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,17.3666666666667,55.5,1184.61999511719,100.0,58.2566299438477,5.00000095367432,0.0,6.39109086990356,7.7,0.2618,30.03,,0.0,,8.23,33.6
5L Fermenter,5000ml,Ferm2,12.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,28.0333333333333,79.4999999999999,1185.04504394531,100.0,62.6708488464355,5.00000095367432,0.0,6.24205923080444,11.4,0.3876,30.01,,0.0,,0.33,31.12
5L Fermenter,5000ml,Ferm2,14.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,38.1666666666667,94.5,1185.27905273437,100.0,51.2133903503418,5.00000095367432,0.0,6.21100997924805,17.2,0.5848,29.99,,,-0.0351,0.53,24.5
5L Fermenter,5000ml,Ferm2,16.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,47.1666666666667,128.5,1185.32995605469,99.3651580810547,40.0906600952148,5.00000095367432,0.633682310581207,6.20187902450562,25.55,0.8687,30.01,,,0.04202,0.49,21.65
5L Fermenter,5000ml,Ferm2,18.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,51.6666666666667,145.5,1184.95104980469,99.6239166259766,39.972110748291,4.99994707107544,0.376258909702301,6.20480108261108,17.9,0.6086,30.0,,,-0.04009,0.27,19.16
5L Fermenter,5000ml,Ferm2,20.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,56.7333333333333,154.0,1185.14697265625,100.0,44.8186912536621,5.00000095367432,0.0,6.25374698638916,17.9,0.6086,30.01,,,-0.00918,0.25,15.79
5L Fermenter,5000ml,Ferm2,22.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,64.0666666666667,180.5,1184.80798339844,100.0,45.8995780944824,5.00000095367432,0.0,6.26470613479614,17.9,0.6086,29.99,,,-0.04202,0.18,12.55
5L Fermenter,5000ml,Ferm2,24.0,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,64.6666666666667,183.0,1185.35595703125,100.0,44.1562118530273,5.00000095367432,0.0,6.22744798660278,17.9,0.6086,28.89,,,-0.04073,0.6,10.28
5L Fermenter,5000ml,Ferm2,28.0,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,68.9333333333333,213.0,1184.98706054687,96.6452713012695,39.6792182922363,4.96568012237549,3.35512208938599,6.21539402008057,20.6,0.7004,26.02,,,-0.04009,0.4,2.07
5L Fermenter,5000ml,Ferm2,32.0,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,81.8,195.5,1185.11206054687,99.8134002685547,40.6206398010254,4.99999904632568,0.187912002205849,6.24205923080444,12.5,0.425,26.01,,,-0.0433,0.64,0.31
5L Fermenter,5000ml,Ferm2,36.0,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,87.8,213.0,1185.14196777344,99.5355987548828,40.7810287475586,4.97529792785645,0.46337890625,6.24132776260376,12.5,0.425,26.01,,,-0.09183,0.69,-0.1
5L Fermenter,5000ml,Ferm2,40.0,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,78.9333333333333,194.0,1185.36206054687,97.6877899169922,40.1673698425293,4.87517499923706,2.31234407424927,6.23438787460327,12.5,0.425,25.99,,,0.03061,1.04,0.04
5L Fermenter,5000ml,Ferm2,44.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,77.5333333333333,197.0,1185.42602539062,95.5555572509766,39.6304092407227,4.77194213867187,4.44769716262817,6.21721982955933,12.5,0.425,25.99,,,-0.02143,1.24,-0.03
5L Fermenter,5000ml,Ferm2,48.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,74.2666666666667,200.0,1184.94799804687,99.6538772583008,40.3068389892578,4.95984888076782,0.345649689435959,6.21393299102783,8.75,0.2975,26.0,,,-0.04458,1.2,-0.07
